age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;salary-class
*;*;132870;*;9;*;*;Not-in-family;*;*;0;4356;18;*;*
[41, 60];Non-Government;140359;*;4;Spouse not present;Technical;Unmarried;White;Female;0;3900;40;North America;<=50K
[41, 60];Non-Government;264663;*;10;Spouse not present;Technical;Own-child;White;Female;0;3900;40;North America;<=50K
[21, 40];Non-Government;216864;*;9;Spouse not present;Other;Unmarried;White;Female;0;3770;45;North America;<=50K
[21, 40];Non-Government;150601;*;6;Spouse not present;Other;Unmarried;White;Male;0;3770;40;North America;<=50K
[61, 80];Government;88638;*;16;Spouse not present;Technical;Other-relative;White;Female;0;3683;20;North America;>50K
[61, 80];Government;422013;*;9;Spouse not present;Technical;Not-in-family;White;Female;0;3683;40;North America;<=50K
*;*;172274;*;16;*;*;Unmarried;*;*;0;3004;35;*;*
[21, 40];Non-Government;164526;*;15;Spouse not present;Technical;Not-in-family;White;Male;0;2824;45;North America;>50K
[41, 60];Non-Government;129177;*;13;Spouse not present;Other;Not-in-family;White;Female;0;2824;20;North America;>50K
[21, 40];Non-Government;136204;*;14;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2824;55;North America;>50K
[41, 60];Non-Government;45363;*;15;Spouse not present;Technical;Not-in-family;White;Male;0;2824;40;North America;>50K
[41, 60];Non-Government;172822;*;7;Spouse not present;Other;Not-in-family;White;Male;0;2824;76;North America;>50K
[41, 60];Non-Government;317847;*;14;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2824;50;North America;>50K
[21, 40];Non-Government;203034;*;13;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2824;50;North America;>50K
[21, 40];Non-Government;188774;*;13;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2824;40;North America;>50K
[21, 40];Non-Government;77009;*;7;Spouse not present;Nontechnical;Not-in-family;White;Female;0;2754;42;North America;<=50K
[61, 80];Non-Government;29059;*;9;Spouse not present;Nontechnical;Unmarried;White;Female;0;2754;25;North America;<=50K
[41, 60];Non-Government;153870;*;10;Spouse present;Other;Husband;White;Male;0;2603;40;North America;<=50K
[21, 40];Non-Government;34310;*;11;Spouse present;Technical;Husband;White;Male;0;2603;40;North America;<=50K
[21, 40];Non-Government;228696;*;2;Spouse present;Technical;Not-in-family;White;Male;0;2603;32;North America;<=50K
[41, 60];Non-Government;122066;*;3;Spouse present;Other;Husband;White;Male;0;2603;40;Europe;<=50K
[21, 40];Non-Government;107164;*;6;Spouse not present;Other;Not-in-family;White;Male;0;2559;50;North America;>50K
[21, 40];Non-Government;175360;*;6;Spouse not present;Technical;Not-in-family;White;Male;0;2559;90;North America;>50K
[21, 40];Non-Government;44064;*;10;Spouse not present;Other;Not-in-family;White;Male;0;2559;40;North America;>50K
[41, 60];Non-Government;107287;*;6;Spouse not present;Nontechnical;Unmarried;White;Female;0;2559;50;North America;>50K
[41, 60];Non-Government;198863;*;15;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2559;60;North America;>50K
[41, 60];Non-Government;123011;*;13;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2559;50;North America;>50K
[41, 60];Non-Government;205246;*;9;Spouse not present;Nontechnical;Not-in-family;Black;Male;0;2559;50;North America;>50K
*;*;39181;*;16;*;*;Not-in-family;*;*;0;2559;60;*;*
[41, 60];Non-Government;149650;*;9;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2559;48;North America;>50K
[41, 60];Non-Government;197163;*;15;Spouse not present;Technical;Not-in-family;White;Female;0;2559;50;North America;>50K
[21, 40];Non-Government;137527;*;16;Spouse not present;Technical;Not-in-family;White;Female;0;2559;60;North America;>50K
[41, 60];Non-Government;161691;*;14;Spouse not present;Technical;Not-in-family;White;Female;0;2559;40;North America;>50K
[41, 60];Non-Government;326232;*;13;Spouse not present;Nontechnical;Unmarried;White;Male;0;2547;50;North America;>50K
[41, 60];Non-Government;115806;*;14;Spouse not present;Nontechnical;Unmarried;White;Female;0;2547;40;North America;>50K
[41, 60];Non-Government;115066;*;10;Spouse not present;Other;Unmarried;White;Female;0;2547;40;North America;>50K
[41, 60];Non-Government;289669;*;14;Spouse not present;Technical;Unmarried;White;Female;0;2547;40;North America;>50K
[41, 60];Non-Government;121253;*;13;Spouse not present;Nontechnical;Unmarried;White;Female;0;2472;70;North America;>50K
[61, 80];Non-Government;110380;*;9;Spouse present;Nontechnical;Husband;White;Male;0;2467;52;North America;<=50K
[61, 80];Non-Government;233882;*;9;Spouse present;Other;Husband;Asian-Pac-Islander;Male;0;2457;40;Asia;<=50K
[21, 40];Non-Government;335549;*;15;Spouse not present;Technical;Not-in-family;White;Male;0;2444;45;North America;>50K
[41, 60];Non-Government;237729;*;9;Spouse not present;Nontechnical;Not-in-family;White;Female;0;2444;72;North America;>50K
[41, 60];Government;68898;*;11;Spouse not present;Technical;Not-in-family;White;Male;0;2444;39;North America;>50K
[41, 60];Non-Government;107276;*;10;Spouse not present;Nontechnical;Not-in-family;White;Female;0;2444;40;North America;>50K
[21, 40];Non-Government;141584;*;14;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2444;45;North America;>50K
[21, 40];Non-Government;207668;*;13;Spouse not present;Nontechnical;Other-relative;White;Male;0;2444;50;North America;>50K
[41, 60];Non-Government;313243;*;10;Spouse not present;Technical;Not-in-family;White;Male;0;2444;45;North America;>50K
[21, 40];Government;147372;*;10;Spouse not present;Other;Not-in-family;White;Male;0;2444;40;North America;>50K
[21, 40];Non-Government;237608;*;13;Spouse not present;Nontechnical;Not-in-family;White;Female;0;2444;45;North America;>50K
[21, 40];Non-Government;194901;*;11;Spouse not present;Technical;Not-in-family;White;Male;0;2444;42;North America;>50K
[41, 60];Non-Government;155106;*;12;Spouse not present;Technical;Not-in-family;White;Male;0;2444;70;North America;>50K
[41, 60];Non-Government;121441;*;7;Spouse not present;Nontechnical;Other-relative;White;Male;0;2444;40;North America;>50K
[41, 60];Non-Government;162028;*;10;Spouse present;Other;Wife;White;Female;0;2415;6;North America;>50K
[41, 60];Non-Government;160724;*;13;Spouse present;Nontechnical;Husband;Asian-Pac-Islander;Male;0;2415;40;Asia;>50K
[41, 60];Non-Government;132222;*;15;Spouse present;Technical;Husband;White;Male;0;2415;40;North America;>50K
[21, 40];Non-Government;329980;*;14;Spouse present;Nontechnical;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Non-Government;124137;*;15;Spouse present;Technical;Husband;White;Male;0;2415;35;Europe;>50K
[21, 40];Non-Government;329980;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Non-Government;187702;*;15;Spouse present;Technical;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Non-Government;199029;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;55;North America;>50K
[41, 60];Non-Government;145290;*;9;Spouse present;Nontechnical;Husband;White;Male;0;2415;50;North America;>50K
[41, 60];Government;297248;*;15;Spouse present;Technical;Husband;White;Male;0;2415;45;North America;>50K
[41, 60];Non-Government;227856;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;50;North America;>50K
[21, 40];Non-Government;179731;*;14;Spouse present;Nontechnical;Wife;White;Female;0;2415;65;North America;>50K
[41, 60];Non-Government;154374;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Non-Government;326857;*;14;Spouse present;Nontechnical;Husband;White;Male;0;2415;65;North America;>50K
[21, 40];Non-Government;160369;*;14;Spouse present;Nontechnical;Husband;White;Male;0;2415;45;North America;>50K
[21, 40];Non-Government;396745;*;13;Spouse present;Technical;Husband;White;Male;0;2415;48;North America;>50K
[41, 60];Non-Government;151089;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2415;55;North America;>50K
[41, 60];Non-Government;336188;*;15;Spouse present;Technical;Husband;White;Male;0;2415;80;North America;>50K
*;*;279015;*;14;*;*;Husband;*;*;0;2415;70;*;*
[41, 60];Non-Government;43221;*;10;Spouse present;Other;Husband;White;Male;0;2415;40;North America;>50K
[21, 40];Non-Government;30529;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;50;North America;>50K
[41, 60];Non-Government;201742;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;50;North America;>50K
[41, 60];Non-Government;298449;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;50;North America;>50K
[41, 60];Non-Government;191712;*;14;Spouse present;Technical;Husband;White;Male;0;2415;55;North America;>50K
[21, 40];Non-Government;198654;*;15;Spouse present;Technical;Husband;Asian-Pac-Islander;Male;0;2415;67;Asia;>50K
[41, 60];Non-Government;102308;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;40;North America;>50K
[21, 40];Non-Government;348521;*;10;Spouse present;Other;Husband;White;Male;0;2415;99;North America;>50K
[61, 80];Non-Government;56248;*;13;Spouse present;Other;Husband;White;Male;0;2415;60;North America;>50K
[21, 40];Non-Government;252752;*;9;Spouse present;Other;Wife;White;Female;0;2415;40;North America;>50K
