age;workclass;final_weight;education;education_num;marital_status;occupation;relationship;race;sex;capital_gain;capital_loss;hours_per_week;native_country;class
24,28;Private;167350;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;White;Male;3103;0;40;United-States;>50K
24,28;Private;394927;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
24,28;Private;84547;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
24,28;Private;161027;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;5178;0;40;United-States;>50K
24,28;Private;186213;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;50;United-States;>50K
29,31;Private;173005;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;50;United-States;>50K
29,31;Private;134890;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
29,31;Private;114982;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
29,31;Private;288566;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;43;United-States;>50K
29,31;Private;244721;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;35;United-States;>50K
32,34;Private;194426;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;15024;0;40;United-States;>50K
32,34;Private;177675;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
32,34;Private;122616;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;84;United-States;>50K
32,34;Private;175856;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;1902;40;United-States;>50K
32,34;Private;55176;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
32,34;Private;198265;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;White;Male;3103;0;40;United-States;>50K
35,37;Private;175759;Bachelors;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
35,37;Private;241998;Bachelors;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;50;United-States;>50K
35,37;Private;241998;Bachelors;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;1977;40;United-States;>50K
35,37;Private;105138;Bachelors;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
35,37;Private;58343;Bachelors;13;Married-civ-spouse;Tech-support;Husband;White;Male;3103;0;42;United-States;>50K
25,29;Private;228472;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;45;United-States;>50K
25,29;Private;176729;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;60;United-States;>50K
25,29;Private;176972;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;45;United-States;>50K
25,29;Private;84619;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;>50K
25,29;Private;270421;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;50;United-States;>50K
25,29;Private;293690;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;58;United-States;>50K
31,34;Private;145139;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;>50K
31,34;Private;163110;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;45;United-States;>50K
31,34;Private;164197;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;44;United-States;>50K
31,34;Private;574005;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;44;United-States;>50K
31,34;Private;186824;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;>50K
