TYPE,NUM,INFORMATIONLOSS
count_filter_workclass_eq_private_adult,22286,0.0
count_filter_workclass_eq_private_adult_mondrian_5,16536,0.2580095126985551
count_filter_workclass_eq_private_adult_OLA_5,22286,0.0
count_filter_workclass_eq_private_adult_flash_5_0,0,1.0
count_filter_workclass_eq_private_adult_flash_5_0_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_5_0_Workclass,22286,0.0
count_filter_workclass_eq_private_adult_flash_5_0_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_5_0_CombinedWorkAgeSalary,0,1.0
count_filter_workclass_eq_private_adult_flash_5_4,0,1.0
count_filter_workclass_eq_private_adult_flash_5_4_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_5_4_Workclass,21922,0.016333123934308524
count_filter_workclass_eq_private_adult_flash_5_4_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_5_4_CombinedWorkAgeSalary,22195,0.004083280983577131
count_filter_workclass_eq_private_adult_flash_5_8,21367,0.041236650812169096
count_filter_workclass_eq_private_adult_flash_5_8_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_5_8_Workclass,21367,0.041236650812169096
count_filter_workclass_eq_private_adult_flash_5_8_SalaryClass,21367,0.041236650812169096
count_filter_workclass_eq_private_adult_flash_5_8_CombinedWorkAgeSalary,21517,0.03450596787220672
count_filter_workclass_eq_private_adult_flash_5_12,0,1.0
count_filter_workclass_eq_private_adult_flash_5_12_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_5_12_Workclass,21180,0.049627568877322115
count_filter_workclass_eq_private_adult_flash_5_12_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_5_12_CombinedWorkAgeSalary,21191,0.04913398546172487
count_filter_workclass_eq_private_adult_flash_5_16,0,1.0
count_filter_workclass_eq_private_adult_flash_5_16_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_5_16_Workclass,20595,0.07587723234317512
count_filter_workclass_eq_private_adult_flash_5_16_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_5_16_CombinedWorkAgeSalary,19922,0.10607556313380595
count_filter_workclass_eq_private_adult_flash_5_20,0,1.0
count_filter_workclass_eq_private_adult_flash_5_20_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_5_20_Workclass,20595,0.07587723234317512
count_filter_workclass_eq_private_adult_flash_5_20_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_5_20_CombinedWorkAgeSalary,19479,0.12595351341649463
count_filter_workclass_eq_private_adult_mondrian_10,10014,0.5506596069281163
count_filter_workclass_eq_private_adult_OLA_10,0,1.0
count_filter_workclass_eq_private_adult_flash_10_0,0,1.0
count_filter_workclass_eq_private_adult_flash_10_0_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_10_0_Workclass,22286,0.0
count_filter_workclass_eq_private_adult_flash_10_0_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_10_0_CombinedWorkAgeSalary,0,1.0
count_filter_workclass_eq_private_adult_flash_10_4,0,1.0
count_filter_workclass_eq_private_adult_flash_10_4_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_10_4_Workclass,21953,0.014942116126716365
count_filter_workclass_eq_private_adult_flash_10_4_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_10_4_CombinedWorkAgeSalary,0,1.0
count_filter_workclass_eq_private_adult_flash_10_8,0,1.0
count_filter_workclass_eq_private_adult_flash_10_8_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_10_8_Workclass,21373,0.04096742349457061
count_filter_workclass_eq_private_adult_flash_10_8_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_10_8_CombinedWorkAgeSalary,22182,0.004666606838373832
count_filter_workclass_eq_private_adult_flash_10_12,0,1.0
count_filter_workclass_eq_private_adult_flash_10_12_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_10_12_Workclass,20840,0.0648837835412367
count_filter_workclass_eq_private_adult_flash_10_12_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_10_12_CombinedWorkAgeSalary,22072,0.009602440994346262
count_filter_workclass_eq_private_adult_flash_10_16,0,1.0
count_filter_workclass_eq_private_adult_flash_10_16_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_10_16_Workclass,20840,0.0648837835412367
count_filter_workclass_eq_private_adult_flash_10_16_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_10_16_CombinedWorkAgeSalary,20643,0.07372341380238712
count_filter_workclass_eq_private_adult_flash_10_20,0,1.0
count_filter_workclass_eq_private_adult_flash_10_20_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_10_20_Workclass,20840,0.0648837835412367
count_filter_workclass_eq_private_adult_flash_10_20_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_10_20_CombinedWorkAgeSalary,19804,0.11137036704657632
count_filter_workclass_eq_private_adult_mondrian_15,6526,0.7071704208920399
count_filter_workclass_eq_private_adult_OLA_15,0,1.0
count_filter_workclass_eq_private_adult_flash_15_0,0,1.0
count_filter_workclass_eq_private_adult_flash_15_0_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_15_0_Workclass,0,1.0
count_filter_workclass_eq_private_adult_flash_15_0_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_15_0_CombinedWorkAgeSalary,0,1.0
count_filter_workclass_eq_private_adult_flash_15_4,0,1.0
count_filter_workclass_eq_private_adult_flash_15_4_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_15_4_Workclass,21932,0.01588441173831101
count_filter_workclass_eq_private_adult_flash_15_4_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_15_4_CombinedWorkAgeSalary,0,1.0
count_filter_workclass_eq_private_adult_flash_15_8,0,1.0
count_filter_workclass_eq_private_adult_flash_15_8_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_15_8_Workclass,21425,0.03863412007538369
count_filter_workclass_eq_private_adult_flash_15_8_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_15_8_CombinedWorkAgeSalary,0,1.0
count_filter_workclass_eq_private_adult_flash_15_12,0,1.0
count_filter_workclass_eq_private_adult_flash_15_12_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_15_12_Workclass,21048,0.05555056986448892
count_filter_workclass_eq_private_adult_flash_15_12_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_15_12_CombinedWorkAgeSalary,22102,0.00825630440635372
count_filter_workclass_eq_private_adult_flash_15_16,0,1.0
count_filter_workclass_eq_private_adult_flash_15_16_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_15_16_Workclass,20457,0.0820694606479404
count_filter_workclass_eq_private_adult_flash_15_16_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_15_16_CombinedWorkAgeSalary,21868,0.01875616979269501
count_filter_workclass_eq_private_adult_flash_15_20,0,1.0
count_filter_workclass_eq_private_adult_flash_15_20_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_15_20_Workclass,20457,0.0820694606479404
count_filter_workclass_eq_private_adult_flash_15_20_SalaryClass,0,1.0
count_filter_workclass_eq_private_adult_flash_15_20_CombinedWorkAgeSalary,20229,0.0923000987166831
count_filter_workclass_eq_private_adult_mondrian_20,4660,0.790900116665171
count_filter_workclass_eq_private_adult_OLA_20,0,1.0
count_filter_workclass_eq_private_adult_flash_20_0,0,1.0
count_filter_workclass_eq_private_adult_flash_20_0_Age,0,1.0
count_filter_workclass_eq_private_adult_flash_20_0_Workclass,0,1.0
count_filter_workclass_eq_private_adult_flash_20_0_SalaryClass,0,1.0
